::1 - - [06/Jun/2021:23:34:14 +0100] "POST /wp-admin/admin-ajax.php HTTP/1.1" 200 47
::1 - - [06/Jun/2021:23:35:15 +0100] "POST /wp-admin/admin-ajax.php HTTP/1.1" 200 47
::1 - - [06/Jun/2021:23:37:15 +0100] "POST /wp-admin/admin-ajax.php HTTP/1.1" 200 47
::1 - - [06/Jun/2021:23:39:16 +0100] "POST /wp-admin/admin-ajax.php HTTP/1.1" 200 47
127.0.0.1 - - [08/Jun/2021:09:54:53 +0100] "POST /wp-cron.php?doing_wp_cron=1623142493.2555971145629882812500 HTTP/1.1" 200 -
::1 - - [08/Jun/2021:09:54:52 +0100] "GET /wp-admin/ HTTP/1.1" 302 -
::1 - - [08/Jun/2021:09:54:53 +0100] "GET /wp-login.php?redirect_to=http%3A%2F%2Flocalhost%3A10009%2Fwp-admin%2F&reauth=1 HTTP/1.1" 200 7266
127.0.0.1 - - [08/Jun/2021:09:54:53 +0100] "\x16\x03\x01" 400 226
::1 - - [08/Jun/2021:09:54:53 +0100] "GET /wp-includes/css/dashicons.min.css?ver=5.7.2 HTTP/1.1" 200 59016
::1 - - [08/Jun/2021:09:54:53 +0100] "GET /wp-admin/css/forms.min.css?ver=5.7.2 HTTP/1.1" 200 25293
::1 - - [08/Jun/2021:09:54:53 +0100] "GET /wp-includes/js/jquery/jquery.min.js?ver=3.5.1 HTTP/1.1" 200 89496
::1 - - [08/Jun/2021:09:54:53 +0100] "GET /wp-includes/js/dist/vendor/wp-polyfill.min.js?ver=7.4.4 HTTP/1.1" 200 99310
127.0.0.1 - - [08/Jun/2021:09:54:53 +0100] "\x16\x03\x01" 400 226
::1 - - [08/Jun/2021:09:54:53 +0100] "GET /wp-includes/js/zxcvbn.min.js HTTP/1.1" 200 822237
127.0.0.1 - - [08/Jun/2021:09:54:56 +0100] "GET /wp-json/wp/v2/types/post?context=edit HTTP/1.1" 401 127
127.0.0.1 - - [08/Jun/2021:09:54:59 +0100] "POST /wp-cron.php HTTP/1.1" 200 -
::1 - - [08/Jun/2021:09:55:01 +0100] "POST /wp-login.php HTTP/1.1" 302 -
::1 - - [08/Jun/2021:09:55:02 +0100] "GET /wp-includes/css/editor.min.css?ver=5.7.2 HTTP/1.1" 200 27209
::1 - - [08/Jun/2021:09:55:02 +0100] "GET /wp-admin/load-styles.php?c=1&dir=ltr&load%5Bchunk_0%5D=dashicons,admin-bar,site-health,common,forms,admin-menu,dashboard,list-tables,edit,revisions,media,themes,about,nav-menus,wp-poi&load%5Bchunk_1%5D=nter,widgets,site-icon,l10n,buttons,wp-auth-check&ver=5.7.2 HTTP/1.1" 200 384320
::1 - - [08/Jun/2021:09:55:01 +0100] "GET /wp-admin/ HTTP/1.1" 200 67271
::1 - - [08/Jun/2021:09:55:02 +0100] "GET /wp-admin/load-scripts.php?c=1&load%5Bchunk_0%5D=jquery-core,jquery-migrate,utils&ver=5.7.2 HTTP/1.1" 200 102587
::1 - - [08/Jun/2021:09:55:02 +0100] "GET /wp-includes/js/dist/vendor/lodash.min.js?ver=4.17.19 HTTP/1.1" 200 72805
::1 - - [08/Jun/2021:09:55:02 +0100] "GET /wp-includes/js/jquery/ui/sortable.min.js?ver=1.12.1 HTTP/1.1" 200 24782
::1 - - [08/Jun/2021:09:55:02 +0100] "GET /wp-includes/js/dist/vendor/moment.min.js?ver=2.26.0 HTTP/1.1" 200 58318
::1 - - [08/Jun/2021:09:55:02 +0100] "GET /wp-admin/js/updates.min.js?ver=5.7.2 HTTP/1.1" 200 41056
::1 - - [08/Jun/2021:09:55:02 +0100] "GET /wp-includes/js/dist/date.min.js?ver=e44c6aaa6f78b408b2505ac9bfb0a862 HTTP/1.1" 200 203812
::1 - - [08/Jun/2021:09:55:02 +0100] "POST /wp-admin/admin-ajax.php HTTP/1.1" 200 16
